1,CN-AH,Anhui,安徽省,省,CN-34
2,CN-BJ,Beijing,北京市,直辖市,CN-11
3,CN-CQ,Chongqing,重庆市,直辖市,CN-50
4,CN-FJ,Fujian,福建省,省,CN-35
5,CN-GD,Guangdong,广东省,省,CN-44
6,CN-GS,Gansu,甘肃省,省,CN-62
7,CN-GX,Guangxi,广西壮族自治区,自治区,CN-45
8,CN-GZ,Guizhou,贵州省,省,CN-52
9,CN-HA,Henan,河南省,省,CN-41
10,CN-HB,Hubei,湖北省,省,CN-42
11,CN-HE,Hebei,河北省,省,CN-13
12,CN-HI,Hainan,海南省,省,CN-46
13,CN-HK,Hong Kong,香港特别行政区,特别行政区,CN-91
14,CN-HL,Heilongjiang,黑龙江省,省,CN-23
15,CN-HN,Hunan,湖南省,省,CN-43
16,CN-JL,Jilin,吉林省,省,CN-22
17,CN-JS,Jiangsu,江苏省,省,CN-32
18,CN-JX,Jiangxi,江西省,省,CN-36
19,CN-LN,Liaoning,辽宁省,省,CN-21
20,CN-MO,Macao,澳门特别行政区,特别行政区,CN-92
21,CN-NM,Nei Mongol,内蒙古自治区,自治区,CN-15
22,CN-NX,Ningxia,宁夏回族自治区,自治区,CN-64
23,CN-QH,Qinghai,青海省,省,CN-63
24,CN-SC,Sichuan,四川省,省,CN-51
25,CN-SD,Shandong,山东省,省,CN-37
26,CN-SH,Shanghai,上海市,直辖市,CN-31
27,CN-SN,Shaanxi,陕西省,省,CN-61
28,CN-SX,Shanxi,山西省,省,CN-14
29,CN-TJ,Tianjin,天津市,直辖市,CN-12
30,CN-TW,Taiwan,台湾省,省,CN-71
31,CN-XJ,Xinjiang,新疆维吾尔自治区,自治区,CN-65
32,CN-XZ,Xizang,西藏自治区,自治区,CN-54
33,CN-YN,Yunnan,云南省,省,CN-53
34,CN-ZJ,Zhejiang,浙江省,省,CN-33